#Z  Element vdW_r  elecn'ty at_wt     val geo 	Eioniz		Eaffinity
  1 H       1.10   2.20       1.008   1   2   	13.59844	 0.754195
  2 He      1.40   -          4.0026  0   2   	24.58738	-0.5
  3 Li      1.82   0.98       6.94    1   8		 5.39171	 0.618049
  4 Be      1.53   1.57       9.0122  2   4p	 9.32269	-0.5
  5 B       1.92   2.04      10.81    3   6p	 8.29803	 0.279723
  6 C       1.70   2.55      12.011   4   4		11.26030	 1.2621226
  7 N       1.55   3.04      14.007   3   4		14.53414	-0.07
  8 O       1.52   3.44      15.999   2   4		13.61806	 1.4611134
  9 F       1.47   3.98      18.998   1   2		17.42282	 3.4011898
 10 Ne      1.54   -         20.180   0   8		21.5646		-1.2
 11 Na      2.27   0.93      22.990   1   8		 5.13908	 0.547926
 12 Mg      1.73   1.31      24.305   2   4p	 7.64624	-0.4
 13 Al      1.84   1.61      26.982   3   6p	 5.98577	 0.43283
 14 Si      2.10   1.90      28.085   4   4		 8.15169	 1.3895212
 15 P       1.80   2.19      30.974   5   5		10.48669	 0.746609
 16 S       1.80   2.58      32.06    6   6		10.36001	 2.0771042
 17 Cl      1.75   3.16      35.45    1   2		12.96764	 3.612725
 18 Ar      1.88   -         39.95    0   8		15.75962	-1.0
 19 K       2.75   0.82      39.098   1   8		 4.34066	 0.501459
 20 Ca      2.31   1.00      40.078   2   4p	 6.11316	 0.02455
 21 Sc      2.11   1.36      44.956   3   6p	 6.5615 	 0.188
 22 Ti      1.76?  1.54      47.867   4   6p	 6.8281 	 0.07554
 23 V       1.71?  1.63      50.942   5   8		 6.7462 	 0.52766
 24 Cr      1.66?  1.66      51.996   6   8		 6.7665 	 0.67584
 25 Mn      1.61?  1.55      54.938   4   8		 7.43402	-0.5
 26 Fe      1.56?  1.83      55.845   3   8		 7.9024 	 0.153236
 27 Co      1.52?  1.88      58.933   3   8		 7.8810 	 0.66226
 28 Ni      1.63   1.91      58.693   3   8		 7.6398 	 1.15716
 29 Cu      1.40   1.90      63.546   2   4p	 7.72638	 1.23578
 30 Zn      1.39   1.65      65.38    2   6p	 9.3942		-0.6
 31 Ga      1.87   1.81      69.723   3   6		 5.99930	 0.30120
 32 Ge      2.11   2.01      72.630   4   4		 7.8994 	 1.2326764
 33 As      1.85   2.18      74.922   5   5		 9.7886 	 0.8048
 34 Se      1.90   2.55      78.971   6   6		 9.75238	 2.0206047
 35 Br      1.85   2.96      79.904   1   2		11.81381	 3.363588
 36 Kr      2.02   3.00      83.798   2   8		13.99961	-1.0
 37 Rb      3.03   0.82      85.468   1   8		 4.17713	 0.485916
 38 Sr      2.49   0.95      87.62    2   4p	 5.6949 	 0.05206
 39 Y       2.12?  1.22      88.906   3   6p	 6.2171 	 0.307
 40 Zr      2.06?  1.33      91.224   4   6p	 6.63390	 0.43328
 41 Nb      1.98?  1.60      92.906   5   8	 	 6.75885	 0.91740
 42 Mo      1.90?  2.16      95.95    6   8		 7.09243	 0.7473
 43 Tc      1.83?  1.90      99       7   6p	 7.28 		 0.55
 44 Ru      1.78?  2.20     101.07    8   6p	 7.36050	 1.04638
 45 Rh      1.73?  2.28     102.91    6   4p	 7.45890	 1.14289
 46 Pd      1.63   2.20     106.42    4   4p	 8.3369 	 0.56214
 47 Ag      1.72   1.93     107.87    1   4p	 7.5762 	 1.30447
 48 Cd      1.58   1.69     112.41    2   6p	 8.9938 	-0.7
 49 In      1.93   1.78     114.82    3   6p	 5.78636	 0.38392
 50 Sn      2.17   1.96     118.71    4   4		 7.3439 	 1.112070
 51 Sb      2.06   2.05     121.76    5   5		 8.6084 	 1.047401
 52 Te      2.06   2.10     127.60    6   6		 9.0096 	 1.970875
 53 I       1.98   2.66     126.90    1   2		10.45126	 3.0590465
 54 Xe      2.16   2.60     131.29    8   8		12.1298 	-0.8
 55 Cs      3.43   0.79     132.91    1   8		 3.89390	 0.471630
 56 Ba      2.68   0.89     137.33    2   4p	 5.21170	 0.14462
 57 La      2.26?  1.10     138.91    3   6p	 5.5769		 0.557546
 58 Ce      2.10?  1.12     140.12    4   6p	 5.5387		 0.57
 59 Pr      2.47?  1.13     140.91    3   6p	 5.473		 0.10923
 60 Nd      2.06?  1.14     144.24    3   6p	 5.5250		 0.09749
 61 Pm      2.05?  1.13     145       3   6p	 5.582		 0.129
 62 Sm      2.38?  1.17     150.36    3   4		 5.6436		 0.162
 63 Eu      2.31?  1.20     151.96    3   8		 5.6704		 0.116
 64 Gd      2.33?  1.20     157.25    3   6p	 6.1501		 0.137
 65 Tb      2.25?  1.10     158.93    3   6p	 5.8638		 0.13131
 66 Dy      2.28?  1.22     162.50    3   6p	 5.9389		 0.352
 67 Ho      2.26?  1.23     164.93    3   6p	 6.0215		 0.338
 68 Er      2.26?  1.24     167.26    3   6p	 6.1077		 0.312
 69 Tm      2.22?  1.25     168.93    3   6p	 6.18431	 1.029
 70 Yb      2.22?  1.10     173.05    3   4p	 6.25416	-0.02
 71 Lu      2.17?  1.27     174.97    3   4p	 5.4259		 0.2388
 72 Hf      2.08?  1.30     178.49    4   6p	 6.82507 	 0.1780
 73 Ta      2.00?  1.50     180.95    5   8		 7.5496		 0.323
 74 W       1.93?  2.36     183.84    6   8		 7.8640		 0.81626
 75 Re      1.88?  1.90     186.21    7   8		 7.8335		 0.060396
 76 Os      1.85?  2.20     190.23    8   8		 8.4382		 1.07780
 77 Ir      1.80?  2.20     192.22    9   10	 8.9670		 1.564057
 78 Pt      1.75   2.28     195.08    6   8		 8.9587		 2.12510
 79 Au      1.66   2.54     196.97    3   4p	 9.2255		 2.308610
 80 Hg      1.55   2.00     200.59    2   6p	10.43750	-0.5
 81 Tl      1.96   1.62     204.38    3   6p	 6.1082		 0.320 053
 82 Pb      2.02   2.33     207.2     4   4		 7.41666	 0.356 721
 83 Bi      2.07   2.02     208.98    5   5		 7.2856		 0.942 362
 84 Po      1.97   2.00     209       6   6		 8.417		 1.40
 85 At      2.02   2.20     210       7   8		 9.31751	 2.415 78
 86 Rn      2.20   2.20     222       6   8		10.74850	-0.7
 87 Fr      3.48   0.80?    223       1   8		 4.0727		 0.486
 88 Ra      2.83   0.90     226       2   4p	 5.2784		 0.10
 89 Ac      1.95?  1.10     227       3   6p	 5.17		 0.35
 90 Th      1.80?  1.30     232.04    4   6p	 6.3067		 0.607 69
 91 Pa      1.80?  1.50     231.04    5   6p	 5.89		 0.55
 92 U       1.86   1.38     238.03    6   6p	 6.19405	 0.314 97
 93 Np      1.86?  1.36     237       7   8		 6.2657		 0.48
 94 Pu      1.86?  1.28     244       8   8		 6.0262		-0.50
 95 Am      1.86?  1.13     243       7   8		 5.9738		 0.10
 96 Cm      1.87?  1.28     247       6   6p	 5.9915		 0.28
 97 Bk      ?      1.3      247       5   6p	 6.1979		-1.72
 98 Cf      ?      1.3      251       5   6p	 6.2817		-1.01
 99 Es      ?      1.3      252       4   6p	 6.42		-0.30
100 Fm      ?      1.3      257       3   6p	 6.50		 0.35
101 Md      ?      1.3      258       3   6p	 6.58		 0.98
102 No      ?      1.3      259       3   4p	 6.65		-2.33
103 Lr      ?      1.3      266       3   6p	 4.9		-0.31
104 Rf      ?      ?        267       4   6p	 6.0
105 Db      ?      ?        268       5   8		 ?
106 Sg      ?      ?        269       6   8		 ?
107 Bh      ?      ?        270       7   8		 ?
108 Hs      ?      ?        269       8   8		 ?
109 Mt      ?      ?        278       9   10	 ?
110 Ds      ?      ?        281       8   8		 ?
111 Rg      ?      ?        282       7   8		 ?			 1.565
112 Cn      ?      ?        285       6   6p	 ?			 0.69
113 Nh      ?      ?        286       3   6p	 ?			 0.366
114 Fl      ?      ?        289       4   4		 ?			 0.776
115 Mc      ?      ?        290       5   5		 ?			 
116 Lv      ?      ?        293       6   6		 ?
117 Ts      ?      ?        294       7   8		 ?			 1.719
118 Og      ?      ?        294       6   8		 ?			 0.056

